d,clock,callv,putv,totv
2023-10-27,13:30,1725802,1940200,3666002
2023-10-30,12:00,1075104,1509662,2584766
2023-10-30,13:30,1442906,1990907,3433813
2023-10-31,12:00,1138980,1573500,2712480
2023-10-31,13:30,1465906,2022241,3488147
2023-11-01,12:00,726835,871304,1598139
2023-11-01,13:30,1022339,1162364,2184703
2023-11-02,12:00,1115667,1273010,2388677
2023-11-02,13:30,1398805,1604864,3003669
2023-11-03,12:00,1363378,1269664,2633042
2023-11-03,13:30,1641995,1591526,3233521
2023-11-06,12:00,882918,1041554,1924472
2023-11-06,13:30,1157847,1420164,2578011
2023-11-07,12:00,1145120,1184178,2329298
2023-11-07,13:30,1406064,1447734,2853798
2023-11-08,12:00,1058369,1170052,2228421
2023-11-08,13:30,1398939,1483613,2882552
2023-11-09,12:00,902707,1080365,1983072
2023-11-09,13:30,1353885,1644248,2998133
2023-11-10,12:00,1060361,1765637,2825998
2023-11-10,13:30,1409785,2194231,3604016
2023-11-13,12:00,1262704,1218559,2481263
2023-11-13,13:30,1579072,1546261,3125333
2023-11-14,12:00,1313508,1294677,2608185
2023-11-14,13:30,1573821,1603937,3177758
2023-11-15,12:00,1083183,1099786,2182969
2023-11-15,13:30,1418193,1452396,2870589
2023-11-16,12:00,1038402,1186388,2224790
2023-11-16,13:30,1261301,1499570,2760871
2023-11-17,12:00,978986,975930,1954916
2023-11-17,13:30,1275894,1238794,2514688
2023-11-20,12:00,799333,847119,1646452
2023-11-20,13:30,1079882,1166965,2246847
2023-11-21,12:00,713187,762865,1476052
2023-11-21,13:30,954089,987570,1941659
2023-11-22,12:00,1099140,1069633,2168773
2023-11-22,13:30,1276551,1223456,2500007
2023-11-24,12:00,653271,676307,1329578
2023-11-24,13:30,673479,690888,1364367
2023-11-27,12:00,733469,866444,1599913
2023-11-27,13:30,911890,1070921,1982811
2023-11-28,12:00,936702,1100197,2036899
2023-11-28,13:30,1242330,1409991,2652321
2023-11-29,12:00,1259536,1090031,2349567
2023-11-29,13:30,1458004,1332867,2790871
2023-11-30,12:00,1081157,1216538,2297695
2023-11-30,13:30,1355612,1520506,2876118
2023-12-01,12:00,1138309,1160474,2298783
2023-12-01,13:30,1366873,1486800,2853673
2023-12-04,12:00,1195914,1067863,2263777
2023-12-04,13:30,1444120,1345259,2789379
2023-12-05,12:00,1275574,1026079,2301653
